File ID,Account,Date From,Date To,Bag Count,Amount Collected,Amount Due,Amount Retained,Create Date,Vendor Name,City,State,Zip code,Location1
95218,003643,9/1/2024,9/30/2024,795,39.75,31.8,7.95,10/10/2024,Crocs Retail LLC,Clarksburg,MD,20871,"Clarksburg, MD 20871
(39.23842, -77.279)"
95444,001218,9/1/2024,9/30/2024,6207,310.35,248.28,62.07,10/19/2024,Gaitherstowne Beer and Wine Inc,Gaithersburg,MD,20877,"Gaithersburg, MD 20877
(39.14033, -77.19373)"
95408,001483,9/1/2024,9/30/2024,2448,122.4,97.92,24.48,10/17/2024,The Honey Baked Ham Co. LLC,Silver Spring,MD,20906,"Silver Spring, MD 20906
(39.06791, -77.06835)"
95442,001227,9/1/2024,9/30/2024,100,5,4,1,10/19/2024,SONA INTERNATIONAL INC,Silver Spring,MD,20910,"Silver Spring, MD 20910
(38.99693, -77.02914)"
95520,000359,9/1/2024,9/30/2024,49,2.45,1.96,0.49,10/24/2024,"Best Buy Stores, LP",,MN,55423,"MN 55423
(44.88314, -93.2834)"
95325,005225,9/1/2024,9/30/2024,614,30.7,24.56,6.14,10/16/2024,"Phoenix Retail, LLC",Clarksburg,MD,20871,"Clarksburg, MD 20871
(39.23842, -77.279)"
95440,003544,9/1/2024,9/30/2024,315,15.75,12.6,3.15,10/19/2024,Montgomery County Humane Society,Rockville,MD,20850,"Rockville, MD 20850
(39.08196, -77.15118)"
95194,005100,9/1/2024,9/30/2024,1225,61.25,49,12.25,10/8/2024,LAPU LAPU LLC,Gaithersburg,MD,20879,"Gaithersburg, MD 20879
(39.16574, -77.18153)"
95341,001299,9/1/2024,9/30/2024,2457,122.85,98.28,24.57,10/16/2024,PETERS GRILL INC,Rockville,MD,20850,"Rockville, MD 20850
(39.08196, -77.15118)"
95142,000585,9/1/2024,9/30/2024,102,5.1,4.08,1.02,10/3/2024,"Guthworks, LLC",Bethesda,MD,20814,"Bethesda, MD 20814
(38.992455, -77.099577)"
95327,000163,9/1/2024,10/5/2024,2227,111.35,89.08,22.27,10/16/2024,AE Outfitters Retail Co.,,PA,15203,"PA 15203
(40.42113, -79.97396)"
95330,000351,9/1/2024,9/30/2024,398,19.9,15.92,3.98,10/16/2024,"Don Pollo of Bethesda, Inc.",Chevy Chase,MD,20815,"Chevy Chase, MD 20815
(38.98249, -77.08722)"
95201,003908,9/1/2024,9/30/2024,25847,1292.35,1033.88,258.47,10/9/2024,Patel Brothers,Gaithersburg,MD,20877,"Gaithersburg, MD 20877
(39.14033, -77.19373)"
95284,005093,9/1/2024,9/30/2024,2419,120.95,96.76,24.19,10/14/2024,TONG XING EASTERN CARRY OUT INC,Silver Spring,MD,20901,"Silver Spring, MD 20901
(39.02585, -77.01502)"
95329,005198,9/1/2024,9/30/2024,75,3.75,3,0.75,10/16/2024,RICHS CAFE INC,Rockville,MD,20850,"Rockville, MD 20850
(39.08196, -77.15118)"
95129,004993,9/1/2024,9/30/2024,1250,62.5,50,12.5,10/2/2024,SUB SPICE LLC,Silver Spring,MD,20906,"Silver Spring, MD 20906
(39.06791, -77.06835)"
95185,003579,9/1/2024,9/30/2024,4610,230.5,184.4,46.1,10/8/2024,Don Pollo of Germantown LLC,Silver Spring,MD,20906,"Silver Spring, MD 20906
(39.06791, -77.06835)"
95326,000362,9/1/2024,9/30/2024,12,0.6,0.48,0.12,10/16/2024,Hwa Suk Lee,Silver Spring,MD,20906,"Silver Spring, MD 20906
(39.06791, -77.06835)"
95253,000263,9/1/2024,9/30/2024,1698,84.9,67.92,16.98,10/12/2024,Elbes Beer and Wine,Silver Spring,MD,20902,"Silver Spring, MD 20902
(39.04516, -77.05324)"
95131,005004,9/1/2024,9/30/2024,298,14.9,11.92,2.98,10/2/2024,L44 Corp Comfort One Shoes ï¿½ Leisure World,Silver Spring,MD,20906,"Silver Spring, MD 20906
(39.06791, -77.06835)"
95409,003560,9/1/2024,9/30/2024,95,4.75,3.8,0.95,10/18/2024,Gabriel Brothers Inc,Gaithersburg,MD,20877,"Gaithersburg, MD 20877
(39.14033, -77.19373)"
95455,005144,9/1/2024,9/30/2024,78,3.9,3.12,0.78,10/20/2024,ADARASH MARTKET IV INC,Silver Spring,MD,20904,"Silver Spring, MD 20904
(39.06094, -76.95226)"
95362,000033,9/1/2024,9/30/2024,0,0,0,0,10/16/2024,A&H Seafood Market Partners LLC,Kensington,MD,20895,"Kensington, MD 20895
(39.02627, -77.07507)"
95383,000111,9/1/2024,9/30/2024,1624140,81207,64965.6,16241.4,10/17/2024,"Giant of Maryland, LLC",,PA,17013,"PA 17013
(40.20129, -77.18915)"
95292,001273,9/1/2024,9/30/2024,5425,271.25,217,54.25,10/15/2024,UNIVERSAL SUPERMARKET INC,Takoma Park,MD,20912,"Takoma Park, MD 20912
(38.98126, -77.00988)"
95256,004983,9/1/2024,9/30/2024,1100,55,44,11,10/12/2024,B&S ASSOCIATES LLC,Silver Spring,MD,20901,"Silver Spring, MD 20901
(39.02585, -77.01502)"
95531,000257,9/1/2024,9/30/2024,124891,6244.55,4995.64,1248.91,10/25/2024,"Maryland CVS Pharmacy, L.L.C.",,RI,02895,"RI 02895
(42.00313, -71.51329)"
95532,001381,9/1/2024,9/30/2024,85,4.25,3.4,0.85,10/25/2024,Ibhana Creations LLC,Chevy Chase,MD,20815,"Chevy Chase, MD 20815
(38.98249, -77.08722)"
95220,003561,9/1/2024,9/30/2024,665,33.25,26.6,6.65,10/10/2024,RRMR LLC,Germantown,MD,20876,"Germantown, MD 20876
(39.18775, -77.23655)"
95513,000047,9/1/2024,9/30/2024,913,45.65,36.52,9.13,10/23/2024,LEBANESE TAVERNA CAFE-CONGRESSIONAL INC,Rockville,MD,20852,"Rockville, MD 20852
(39.05652, -77.11419)"
95154,001238,9/1/2024,9/30/2024,862,43.1,34.48,8.62,10/4/2024,seneca meadows beer and wine,Germantown,MD,20876,"Germantown, MD 20876
(39.18775, -77.23655)"
95431,003898,9/1/2024,9/30/2024,1800,90,72,18,10/18/2024,EMC FOOD VENTURES INC,Silver Spring,MD,20902,"Silver Spring, MD 20902
(39.04516, -77.05324)"
95510,000480,9/1/2024,9/30/2024,2454,122.7,98.16,24.54,10/23/2024,Saks and Company,,MD,20015,"MD 20015
(38.96102, -77.0699)"
95310,000776,9/1/2024,9/30/2024,265711,13285.55,10628.44,2657.11,10/15/2024,Target Corporation,,MN,55445,"MN 55445
(45.1115, -93.38015)"
95277,001029,9/1/2024,9/30/2024,5911,295.55,236.44,59.11,10/14/2024,"Boolteena, Inc.",Silver Spring,MD,20902,"Silver Spring, MD 20902
(39.04516, -77.05324)"
95375,005047,9/1/2024,9/30/2024,900,45,36,9,10/17/2024,CHOISDREAM INC,Gaithersburg,MD,20877,"Gaithersburg, MD 20877
(39.14033, -77.19373)"
95497,001073,9/1/2024,9/30/2024,598,29.9,23.92,5.98,10/22/2024,PARK AND PARK NORTHGATE LLC,Silver Spring,MD,20906,"Silver Spring, MD 20906
(39.06791, -77.06835)"
95527,000249,9/1/2024,9/30/2024,257,12.85,10.28,2.57,10/25/2024,"Madewell, Inc.",,NY,10281,"NY 10281
(40.71446, -74.01556)"
95169,000020,9/1/2024,10/5/2024,1924,96.2,76.96,19.24,10/7/2024,"FASHION GALLERY, INC.",,NY,11207,"NY 11207
(40.65926, -73.88949)"
95205,000939,9/1/2024,9/30/2024,3103,155.15,124.12,31.03,10/9/2024,Star Sushi Inc,Gaithersburg,MD,20878,"Gaithersburg, MD 20878
(39.12004, -77.23908)"
95338,003650,9/1/2024,9/30/2024,4323,216.15,172.92,43.23,10/16/2024,"Solo Pollo of Aspen Hill, LLC",Silver Spring,MD,20906,"Silver Spring, MD 20906
(39.06791, -77.06835)"
95291,003615,9/1/2024,9/30/2024,674,33.7,26.96,6.74,10/15/2024,ZALE DELAWARE INC        *11*,,OH,44333,"OH 44333
(41.13187, -81.60748)"
95400,001097,9/1/2024,9/30/2024,883,44.15,35.32,8.83,10/17/2024,Bradley Variety LLC,Bethesda,MD,20814,"Bethesda, MD 20814
(38.992455, -77.099577)"
95392,000218,9/1/2024,9/30/2024,3680,184,147.2,36.8,10/17/2024,"Michaels Stores, Inc.",,TX,75063,"TX 75063
(32.93085, -96.95584)"
95435,004978,9/1/2024,9/30/2024,200,10,8,2,10/18/2024,Latin 2 Inc,Gaithersburg,MD,20877,"Gaithersburg, MD 20877
(39.14033, -77.19373)"
95202,001297,9/1/2024,9/30/2024,1152,57.6,46.08,11.52,10/9/2024,MOBY DICK VIII,Germantown,MD,20874,"Germantown, MD 20874
(39.18272, -77.27048)"
95477,000235,9/1/2024,9/30/2024,16961,848.05,678.44,169.61,10/21/2024,Gap Inc,,NM,87109,"NM 87109
(35.15334, -106.57477)"
95374,000525,9/1/2024,9/30/2024,362,18.1,14.48,3.62,10/17/2024,CHAPALA RESTAURANT,Burtonsville,MD,20866,"Burtonsville, MD 20866
(39.10814, -76.93714)"
95337,003737,9/1/2024,9/30/2024,2702,135.1,108.08,27.02,10/16/2024,"Tapestry, Inc",,NY,10001,"NY 10001
(40.75431, -74.00119)"
95211,001490,9/1/2024,9/30/2024,200,10,8,2,10/10/2024,Tyson's Petro LLC,Potomac,MD,20854,"Potomac, MD 20854
(39.01796, -77.20884)"
95288,005101,9/1/2024,9/30/2024,3004,150.2,120.16,30.04,10/15/2024,RUBY THAI KITCHEN INC,Silver Spring,MD,20902,"Silver Spring, MD 20902
(39.04516, -77.05324)"
