File ID,Account,Date From,Date To,Bag Count,Amount Collected,Amount Due,Amount Retained,Create Date,Vendor Name,City,State,Zip code,Location1
95235,1265,2024-09-01,2024-09-30,84,4.2,3.36,0.84,2024-10-11,Mid-Atlantic Petroleum Downstream Marketing LLC.,Rockville,MD,20850,"Rockville, MD 20850
(39.08196, -77.15118)"
95448,1461,2024-09-01,2024-09-30,1671,83.55,66.84,16.71,2024-10-20,TEAM RESTAURANT CORPORATION,Montgomery Village,MD,20886,"Montgomery Village, MD 20886
(39.17043, -77.20826)"
95193,5208,2024-09-01,2024-09-30,500,25.0,20.0,5.0,2024-10-08,HIBACHI EXPRESS KENSINGTON INC,Kensington,MD,20895,"Kensington, MD 20895
(39.02627, -77.07507)"
95359,266,2024-09-01,2024-09-30,3179,158.95,127.16,31.79,2024-10-16,Carter's Retail Inc.,,GA,30326,"GA 30326
(33.84647, -84.35919)"
95262,5218,2024-09-01,2024-09-30,170,8.5,6.8,1.7,2024-10-13,Kusshi Woodmont Triangle LLC,Bethesda,MD,20814,"Bethesda, MD 20814
(38.992455, -77.099577)"
95366,1373,2024-09-01,2024-09-30,6467,323.35,258.68,64.67,2024-10-17,Barnes & Noble Booksellers,,NY,10011,"NY 10011
(40.7461, -74.00045)"
95192,140,2024-09-01,2024-09-30,7362,368.1,294.48,73.62,2024-10-08,"BATH & BODY WORKS, LLC.",,OH,43218,"OH 43218
(40.01658, -82.92296)"
95146,5032,2024-09-01,2024-09-30,241,12.05,9.64,2.41,2024-10-03,NEWS EXPRESS LLC,Bethesda,MD,20814,"Bethesda, MD 20814
(38.992455, -77.099577)"
95195,3570,2024-09-01,2024-09-30,1020,51.0,40.8,10.2,2024-10-08,Kuya Ja's Lechon Belly,Kensington,MD,20895,"Kensington, MD 20895
(39.02627, -77.07507)"
95460,417,2024-09-01,2024-09-30,2630,131.5,105.2,26.3,2024-10-21,ASADO MD,Rockville,MD,20852,"Rockville, MD 20852
(39.05652, -77.11419)"
95458,789,2024-09-01,2024-09-30,304,15.2,12.16,3.04,2024-10-21,Mehranian LLC,Rockville,MD,20852,"Rockville, MD 20852
(39.05652, -77.11419)"
95161,904,2024-09-01,2024-09-30,99,4.95,3.96,0.99,2024-10-06,Brooklyns Deli Potomac LLC,Potomac,MD,20854,"Potomac, MD 20854
(39.01796, -77.20884)"
95445,3955,2024-09-01,2024-09-30,7851,392.55,314.04,78.51,2024-10-19,SNIDERS FAMILY GROCERY INC,Silver Spring,MD,20910,"Silver Spring, MD 20910
(38.99693, -77.02914)"
95321,512,2024-09-01,2024-09-30,11712,585.6,468.48,117.12,2024-10-15,"Ulta Salon Cosmetics & Fragrance, Inc.",,IL,60440,"IL 60440
(41.69821, -88.07964)"
95170,198,2024-09-01,2024-09-30,40908,2045.4,1636.32,409.08,2024-10-07,"The TJX Companies, Inc",,MA,1701,"MA 01701
(42.30394, -71.40754)"
95339,3948,2024-09-01,2024-09-30,3942,197.1,157.68,39.42,2024-10-16,"Piccoli Piatti, Inc",Chevy Chase,MD,20815,"Chevy Chase, MD 20815
(38.98249, -77.08722)"
95265,843,2024-09-01,2024-09-30,0,0.0,0.0,0.0,2024-10-14,H&M Specialty,Chevy Chase,MD,20815,"Chevy Chase, MD 20815
(38.98249, -77.08722)"
95438,1398,2024-09-01,2024-09-30,220,11.0,8.8,2.2,2024-10-18,Courthouse Exxon,Rockville,MD,20852,"Rockville, MD 20852
(39.05652, -77.11419)"
95502,290,2024-09-01,2024-09-30,1328,66.4,53.12,13.28,2024-10-22,laotao,Gaithersburg,MD,20878,"Gaithersburg, MD 20878
(39.12004, -77.23908)"
95447,872,2024-09-01,2024-09-30,2211,110.55,88.44,22.11,2024-10-20,"European Market, Inc.",Derwood,MD,20855,"Derwood, MD 20855
(39.11456, -77.15697)"
95203,110,2024-09-01,2024-09-30,2347,117.35,93.88,23.47,2024-10-09,Foot Locker,,NY,10120,"NY 10120
(40.75015, -73.98863)"
95403,5098,2024-09-01,2024-09-30,400,20.0,16.0,4.0,2024-10-17,HOOK REEL GAITHERSBURG LLC,Gaithersburg,MD,20877,"Gaithersburg, MD 20877
(39.14033, -77.19373)"
95491,522,2024-09-01,2024-09-30,130974,6548.7,5238.96,1309.74,2024-10-21,DOS FRIENDS INC.,Silver Spring,MD,20903,"Silver Spring, MD 20903
(39.01817, -76.97995)"
95434,1423,2024-09-01,2024-09-30,72,3.6,2.88,0.72,2024-10-18,Latin Inc,Silver Spring,MD,20903,"Silver Spring, MD 20903
(39.01817, -76.97995)"
95319,1247,2024-09-01,2024-09-30,2282,114.1,91.28,22.82,2024-10-15,JAAT INC,Potomac,MD,20854,"Potomac, MD 20854
(39.01796, -77.20884)"
95342,3957,2024-09-01,2024-09-30,38850,1942.5,1554.0,388.5,2024-10-16,American Stores Company LLC / DBA Balducciï¿½s,Bethesda,MD,20814,"Bethesda, MD 20814
(38.992455, -77.099577)"
95361,3581,2024-09-01,2024-09-30,1078,53.9,43.12,10.78,2024-10-16,PD & BA LLC,Kensington,MD,20895,"Kensington, MD 20895
(39.02627, -77.07507)"
95226,1201,2024-09-01,2024-09-30,475,23.75,19.0,4.75,2024-10-10,Bong & Kwon Inc,Silver Spring,MD,20904,"Silver Spring, MD 20904
(39.06094, -76.95226)"
95236,345,2024-09-01,2024-09-30,551,27.55,22.04,5.51,2024-10-11,"Montgomery Mall Service Center, Inc.",Bethesda,MD,20817,"Bethesda, MD 20817
(38.98443, -77.1209)"
95147,5174,2024-09-01,2024-09-30,1684,84.2,67.36,16.84,2024-10-03,JKL Lakeforest LLC,Gaithersburg,MD,20877,"Gaithersburg, MD 20877
(39.14033, -77.19373)"
